description,reaction,T,I,pH,pMg,standard_dg_prime,std,n,SEM,type,nontrans_standard_dg_prime,nontrans_std,all standard_dg_prime,all nontrans_standard_dg_prime
D-glucose 6-phosphate(aq) + NADP(aq) + H2O(l) = 6-phospho-D-gluconate(aq) + NADPH(aq),[H]OC1([H])O[C@]([H])(C([H])([H])OP(=O)(O[H])O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]1([H])O[H] + [H]O[C@@]1([H])[C@@]([H])(OP(=O)(O[H])O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])([n+]2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])[C@]([H])(O[H])[C@]1([H])O[H] + [H]O[H] = [H]OC(=O)[C@]([H])(O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@]([H])(O[H])C([H])([H])OP(=O)(O[H])O[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2C([H])=C([H])C([H])([H])C(C(=O)N([H])[H])=C2[H])O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)[C@]([H])(OP(=O)(O[H])O[H])[C@]1([H])O[H] + [H+],298.15,0.25,7.0,14.0,-26.93666014877809,0.17748145432060045,6,0.07245650031542533,reaction dg,-23.903207379291956,4.650638787599842,"[-27.092779698845167, -27.003840168049805, -26.71336057943929, -27.003840168049805, -26.71336057943929, -27.092779698845167]","[-18.909475829812553, -23.513460030540628, -29.286686277522698, -23.513460030540628, -29.286686277522698, -18.909475829812553]"
"D-glucose 6-phosphate(aq) + NADP(aq) = D-glucono-1,5-lactone 6-phosphate(aq) + NADPH(aq)",[H]OC1([H])O[C@]([H])(C([H])([H])OP(=O)(O[H])O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]1([H])O[H] + [H]O[C@@]1([H])[C@@]([H])(OP(=O)(O[H])O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])([n+]2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])[C@]([H])(O[H])[C@]1([H])O[H] = [H]O[C@@]1([H])[C@]([H])(O[H])[C@@]([H])(C([H])([H])OP(=O)(O[H])O[H])OC(=O)[C@]1([H])O[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2C([H])=C([H])C([H])([H])C(C(=O)N([H])[H])=C2[H])O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)[C@]([H])(OP(=O)(O[H])O[H])[C@]1([H])O[H] + [H+],298.15,0.25,7.0,14.0,-4.593539371881327,1.2187937654726997,4,0.6093968827363498,reaction dg,-4.719187952273863,4.593408165544996,"[-4.052892314583999, -6.420292791837268, -3.9479719963569218, -3.9530003847471225]","[-7.422305667862616, -9.789706145115884, -0.6500406542976641, -1.0146993418192893]"
D-glucose 6-phosphate(aq) = D-fructose 6-phosphate(aq),[H]OC1([H])O[C@]([H])(C([H])([H])OP(=O)(O[H])O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]1([H])O[H] = [H]OC([H])([H])C1(O[H])O[C@]([H])(C([H])([H])OP(=O)(O[H])O[H])[C@@]([H])(O[H])[C@]1([H])O[H],298.15,0.25,7.0,14.0,2.917586856525164,0.656043065498085,50,0.09277850007282125,reaction dg,2.886679128993239,0.6476213196076337,"[2.8895666956971313, 2.313849776525738, 1.0340586871872506, 3.078768848719989, 1.034850620150603, 2.8811506464387397, 2.8811506464387397, 2.013401962735158, 1.0364381902467517, 2.8574549095519246, 3.1140441438791213, 3.0605853139915276, 3.2918969293478826, 2.901262447959369, 3.098245772491945, 3.0480218939793104, 3.0232866486028325, 3.026010765650978, 2.9243155894405555, 2.7663254930030186, 2.974544883227193, 3.1495088391220154, 3.6256826675069123, 3.3226879051998504, 1.5908063553454719, 2.5184781877400826, 3.153055880340588, 3.8042317144114257, 3.8265099657436563, 3.7538768668327096, 3.5996040776362643, 3.374231274544636, 3.3182250737422754, 3.288961310987079, 3.073763017223371, 2.9910370485860818, 2.881851768883338, 2.697328624865673, 2.590851557593511, 2.8497771255574795, 2.4302902199385894, 3.45460042455762, 2.600648182408027, 3.768724292619565, 3.103079964448419, 3.329542486510607, 2.4242642910384253, 3.616121399511837, 3.616121399511837, 2.8762500385850993]","[2.8792344213006986, 2.3033214495447494, 1.0321694545976174, 3.0330199952969967, 1.0321694545976174, 2.8704360695024738, 2.8704360695024738, 2.0115818233809493, 1.0321694545976174, 2.8574077349915883, 3.103055093324636, 3.0498707370552616, 3.281574457580729, 2.8902341868878816, 3.0414913540462103, 2.9912674755335757, 2.9665322301570978, 2.967935199239475, 2.8652297334081305, 2.7060739181771347, 2.9177904647814583, 3.0927544206762807, 3.572677977846756, 3.266516346150902, 1.5881251897924864, 2.504696962079446, 3.153933491984418, 3.7717248406304087, 3.7938059227563086, 3.7207661623574753, 3.5658525732406825, 3.3396787702487334, 3.28325358488292, 3.2532874068304545, 3.0375222515987734, 2.954796282961484, 2.844970203338393, 2.659892520928207, 2.5528978844895405, 2.8122917293184306, 2.3916834238389324, 3.4202327663925955, 2.562546632399422, 3.7354780343150353, 3.06750464489496, 3.2944477668975223, 2.3857560795419337, 3.582209695136282, 3.582209695136282, 2.839442411492528]"
"D-glucose(aq) + NADP(aq) = D-glucono-1,5-lactone(aq) + NADPH(aq)",[H]OC1([H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]1([H])O[H] + [H]O[C@@]1([H])[C@@]([H])(OP(=O)(O[H])O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])([n+]2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])[C@]([H])(O[H])[C@]1([H])O[H] = [H]OC([H])([H])[C@@]1([H])OC(=O)[C@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2C([H])=C([H])C([H])([H])C(C(=O)N([H])[H])=C2[H])O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)[C@]([H])(OP(=O)(O[H])O[H])[C@]1([H])O[H] + [H+],298.15,0.25,7.0,14.0,-3.2320777148511493,2.2451881390004313,4,1.1225940695002157,reaction dg,-0.862973253419119,2.9276512721058117,"[-1.318388121548729, -2.906605482815572, -2.248381842933898, -6.4549354121063995]","[3.0583385651962445, -3.17028535119227, -0.3078877882445593, -3.032058439435891]"
D-glucose(aq) = D-fructose(aq),[H]OC1([H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]1([H])O[H] = [H]OC([H])([H])C1(O[H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[H])[C@]1([H])O[H],298.15,0.25,7.0,14.0,-0.1888878674551682,0.33501833054534524,89,0.0355118720141336,reaction dg,-0.1915078287926992,0.3348420711554195,"[-0.1467700099139447, -0.23870208184144462, -0.41552884272176516, -0.2002149464261774, 0.7460259571664029, -0.38679007427154094, -0.7479748839814603, 0.21704096381218518, 0.05606829923337057, -0.08290378470581139, -0.37346022690011293, -0.5751041478569376, -0.9661837728621268, -0.16637522244984196, -0.27949906553519727, -0.05506791210557321, 0.5004633410936341, -0.7684793596380869, -0.1389519985628723, -0.8122441031382029, -0.2794883496433226, -0.33745346609324334, 0.5164831765818872, -0.16887688430125633, -0.355953687610095, -0.5646328080710331, -0.10578076662798976, -0.279373822951107, -0.4904849552167696, -0.08689157107324325, 0.28637283704023436, -0.3249110814158035, -0.2261725405363499, -0.10046141290810191, 0.02190444755034173, 0.17496845664588292, -0.21009821493328734, -0.5362427669771164, -0.20598670228560484, 0.006830492125914134, -0.36099093840101304, 0.11627978142521017, -0.7104390725531521, -0.3650385101735044, -0.9471204878571186, 0.47549437895715985, -0.11035192138546202, -0.4435881578080865, -0.2501945974070233, 0.35492795371595126, 0.19034559131319415, 0.01253629201481404, -0.2728568468902854, 0.29339496855081276, -0.008058221796133386, -0.25383094890612495, -0.5368718419161164, -0.4247501182183136, 0.10098189443946307, 0.3589888697203558, 0.1748322203746674, -0.0792782423443057, 0.004496341394087722, -0.1659813620731664, -0.3323668343071534, 0.4683027590972734, -0.7893736210803121, -0.0809296713843918, -0.20717852328607983, -0.5512922726968577, -0.9661837728621268, 0.027961697415966102, -0.05548867457070053, -0.37346022690011293, 0.02983132845313341, -0.18709386323192218, -0.13210780406659722, -0.36516415767726684, -0.2859516310971888, -0.02422931508594639, -0.2972370090288229, -0.28951511392322093, -0.3075004679373807, -0.28177226385270665, -0.2843555492260935, -0.2946653653216091, -0.28177226385270665, -0.0007577758805723533, -0.0007453430769146507]","[-0.14678966402657898, -0.23880035240472966, -0.41566642151020505, -0.20027390876408022, 0.7460259571664029, -0.38692765305998084, -0.7481517709952824, 0.21698200147428237, 0.05593072044493067, -0.08306101760699924, -0.37363711391393506, -0.575300688983394, -0.9663999681013311, -0.16615824908698854, -0.27930853108544, -0.05482310830773212, 0.5003650705303491, -0.7686169384265268, -0.13912888557669442, -0.8132095699683694, -0.27970454488252694, -0.3383566440827146, 0.5164242142439844, -0.16903411720244418, -0.3561502287365514, -0.564868657422758, -0.10591834541642965, -0.27955070996492914, -0.49070115045597396, -0.21306483380090474, 0.2863238982997148, -0.3250960266158932, -0.22634333477524743, -0.10059918823766474, 0.021793008731592865, 0.1748896436542229, -0.21306483380090474, -0.5435685378815747, -0.21306483380090474, -0.0, -0.368192889610949, 0.11620116497467309, -0.7106159595669742, -0.3651760889619443, -0.9473366830963229, 0.4754747248445256, -0.11086309156222662, -0.44419829284820606, -0.2507552500154654, 0.3537229979576117, 0.18902302395190904, 0.011096113050583386, -0.2743754335897752, 0.29076376024110456, -0.011008691266439802, -0.25693421651949405, -0.540149026114967, -0.4279651893508721, 0.09815192431771105, 0.3564570423166695, 0.17211405377221844, -0.07937651290759073, -0.0, -0.16615824908698854, -0.33258302954635777, 0.4682044885339884, -0.789511199868752, -0.08183284937386306, -0.21946029631931702, -0.551488813823314, -0.9663999681013311, 0.027824118627526206, -0.055645907471888384, -0.37363711391393506, 0.026988935718100238, -0.1901225951656043, -0.13507442293421462, -0.368192889610949, -0.2889182499648062, -0.027133820887271676, -0.29776401358371973, -0.2900421184781178, -0.3080274724922775, -0.2822992684076035, -0.28488255378099037, -0.29519236987650593, -0.2822992684076035, -0.0, -0.0]"
D-glucose(aq) = D-mannose(aq),[H]OC1([H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]1([H])O[H] = [H]OC([H])([H])[C@@]1([H])OC([H])(O[H])[C@@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H],298.15,0.25,7.0,14.0,2.03197641293392,,1,,reaction dg,2.03197641293392,,[2.03197641293392],[2.03197641293392]
D-glucuronate(aq) = D-fructuronate(aq),[H]OC(=O)[C@@]1([H])OC([H])(O[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H] = [H]OC(=O)[C@@]1([H])OC(O[H])(C([H])([H])O[H])[C@@]([H])(O[H])[C@]1([H])O[H],298.15,0.25,7.0,14.0,0.5222436780842361,,1,,reaction dg,0.511476832341599,,[0.5222436780842361],[0.511476832341599]
D-glutamate(aq) = 5-oxo-D-proline(aq) + H2O(l),[H]OC(=O)C([H])([H])C([H])([H])[C@]([H])(C(=O)O[H])N([H])[H] = [H]OC(=O)[C@]1([H])N([H])C(=O)C([H])([H])C1([H])[H] + [H]O[H],298.15,0.25,7.0,14.0,-8.67785422312664,0.9798816990621578,5,0.43821641780219533,reaction dg,-8.060541967240102,0.6285974570318995,"[-7.3454594716290575, -10.08749722057718, -8.714711340159829, -8.808464748657503, -8.43313833460963]","[-7.778872675502727, -8.812969595952627, -8.279514636968733, -8.285431088572256, -7.145921839204171]"
D-glyceraldehyde 3-phosphate(aq) + ADP(aq) + NAD(aq) + orthophosphate(aq) = 3-phospho-D-glycerate(aq) + ATP(aq) + NADH(aq),[H]O[C@@]([H])(C([H])=O)C([H])([H])OP(=O)(O[H])O[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])O[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])([n+]2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])[C@]([H])(O[H])[C@]1([H])O[H] + [H]OP(=O)(O[H])O[H] = [H]OC(=O)[C@]([H])(O[H])C([H])([H])OP(=O)(O[H])O[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OP(=O)(O[H])O[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2C([H])=C([H])C([H])([H])C(C(=O)N([H])[H])=C2[H])O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H] + [H+],298.15,0.25,7.0,14.0,-12.198396762129537,3.500915998484798,56,0.4678295787930612,reaction dg,-14.01818293316675,3.6238889590168575,"[-8.488343730981688, -8.488343730981688, -17.809493209171325, -16.6029239590533, -16.221967649992326, -15.841717698256218, -14.874801007454582, -13.621555026775345, -12.854953600880178, -14.683207203642066, -17.019823361788102, -17.601627340249788, -12.698702944027765, -14.068420625255822, -12.698702944027765, -15.386047022311661, -13.223212484809897, -14.529545023958114, -17.809493209171325, -17.019823361788102, -16.221967649992326, -15.386047022311661, -14.529545023958114, -14.068420625255822, -12.698702944027765, -12.854953600880178, -14.874801007454582, -14.683207203642066, -12.698702944027765, -13.621555026775345, -13.223212484809897, -17.601627340249788, -16.6029239590533, -15.841717698256218, -7.596233602938812, -8.494464227502569, -8.560321018083282, -8.744128174352664, -8.528790695201012, -8.488343730981688, -8.882704493402214, -7.823521658110256, -9.110251813604279, -8.059534762090614, -9.041770330723722, -8.494464227502569, -8.059534762090614, -8.882704493402214, -9.041770330723722, -7.823521658110256, -8.528790695201012, -9.110251813604279, -8.560321018083282, -7.596233602938812, -8.488343730981688, -8.744128174352664]","[-10.543111195828208, -10.543111195828208, -19.864260674017846, -18.49963238814223, -18.118676079081258, -17.73842612734515, -16.771509436543514, -15.518263455864277, -14.75166202996911, -16.579915632730998, -18.916531790877034, -19.49833576933872, -14.595411373116697, -15.965129054344754, -14.595411373116697, -17.282755451400593, -15.119920913898829, -16.426253453047046, -19.864260674017846, -18.916531790877034, -18.118676079081258, -17.282755451400593, -16.426253453047046, -15.965129054344754, -14.595411373116697, -14.75166202996911, -16.771509436543514, -16.579915632730998, -14.595411373116697, -15.518263455864277, -15.119920913898829, -19.49833576933872, -18.49963238814223, -17.73842612734515, -8.61593625106383, -9.602021752492426, -9.84272160998081, -10.629307727579839, -10.498910863098915, -10.543111195828208, -11.021825931491078, -9.1929088249525, -10.910197524688684, -9.602021752492426, -11.264952496337315, -9.602021752492426, -9.602021752492426, -11.021825931491078, -11.264952496337315, -9.1929088249525, -10.498910863098915, -10.910197524688684, -9.84272160998081, -8.61593625106383, -10.543111195828208, -10.629307727579839]"
D-glyceraldehyde 3-phosphate(aq) + indole(aq) = 1-(indol-3-yl)glycerol 3-phosphate(aq),[H]O[C@@]([H])(C([H])=O)C([H])([H])OP(=O)(O[H])O[H] + [H]c1c([H])c([H])c2c(c1[H])c([H])c([H])n2[H] = [H]O[C@@]([H])(c1c([H])n([H])c2c([H])c([H])c([H])c([H])c12)[C@]([H])(O[H])C([H])([H])OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,-19.271807262891997,,1,,reaction dg,-19.178475249796804,,[-19.271807262891997],[-19.178475249796804]
D-glyceraldehyde 3-phosphate(aq) + orthophosphate(aq) + NAD(aq) = 3-phospho-D-glyceroyl phosphate(aq) + NADH(aq),[H]O[C@@]([H])(C([H])=O)C([H])([H])OP(=O)(O[H])O[H] + [H]OP(=O)(O[H])O[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])([n+]2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])[C@]([H])(O[H])[C@]1([H])O[H] = [H]O[C@@]([H])(C(=O)OP(=O)(O[H])O[H])C([H])([H])OP(=O)(O[H])O[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2C([H])=C([H])C([H])([H])C(C(=O)N([H])[H])=C2[H])O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H] + [H+],298.15,0.25,7.0,14.0,4.246653745590889,3.5898223722367346,36,0.5983037287061225,reaction dg,1.9594121344361182,2.316214607270661,"[16.7822702676732, 4.289500683222873, 3.927173239512588, 3.54227873895609, 3.5232475812385724, 2.8082597959386586, 3.566252038311303, 3.5054102547344015, 3.445967257504841, 6.8632294515427255, 4.929862337461916, 4.6259794501015445, 4.018394541300993, 2.7271256284869767, 3.566252038311303, 3.8000298227566542, 3.5054102547344015, 5.577969544262297, 3.378394506190708, 3.582690578468133, 4.075978817193889, 3.6285600291857865, 3.6285600291857865, 3.318059588569705, 1.4812167957526448, 0.24157396863074176, 0.735054249872281, 0.5533248735000735, -6.735489905363381, 6.394284286371264, 9.728782601433652, 11.315800169333077, 5.1810246921980125, 5.5637809868642005, 8.182672633350021, 3.62065301448405]","[7.854288240217277, 1.15394514777734, 1.2360363759409734, 2.0646666150255064, 2.122773700832945, 4.581671726060625, 2.243058481639407, 2.1822166980625055, 2.122773700832945, 4.0976069853853865, 2.164239871304606, 1.8603569839441776, 1.2527720751437676, -0.038496837670447336, 2.243058481639407, 1.4084773619073998, 2.1822166980625055, 2.8123470781048443, 0.6127720400332557, 2.1822166980625055, 1.2360363759409734, 2.3053664725138905, 2.3053664725138905, 2.3053664725138905, 1.4812167957526448, -0.8336525299669874, -7.019644461387298, 0.9193572102014822, 0.8485630654397192, 5.744908429005112, 4.075856861400284, 4.154104201223764, 4.603180469975389, -0.6456801602222145, 0.20520268157946264, 2.5142903609093152]"
D-glyceraldehyde 3-phosphate(aq) = glycerone phosphate(aq),[H]O[C@@]([H])(C([H])=O)C([H])([H])OP(=O)(O[H])O[H] = [H]OC([H])([H])C(=O)C([H])([H])OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,-7.694489705161648,0.5145174895294417,9,0.17150582984314722,reaction dg,-7.839976949460123,0.5280532277240868,"[-7.89902633611652, -7.607819898214888, -6.845085208987893, -7.168321964555344, -7.970175573153172, -8.660061413605215, -7.796860946368707, -7.805858636925591, -7.497197368527512]","[-7.992374011301876, -7.786881509002615, -7.019644461387298, -7.2952200424157185, -8.006078525147531, -8.911382077565728, -7.897389211952895, -7.992374011301876, -7.658448695065577]"
D-lyxose(aq) = D-xylulose(aq),[H]OC1([H])OC([H])([H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@]1([H])O[H] = [H]OC([H])([H])C1(O[H])OC([H])([H])[C@@]([H])(O[H])[C@]1([H])O[H],298.15,0.25,7.0,14.0,3.0075847691463915,0.896220171473169,2,0.6337233606848481,reaction dg,3.0066931178209737,0.8974811568704829,"[3.64130812983124, 2.3738614084615435]","[3.64130812983124, 2.372078105810708]"
D-mannitol(aq) + NAD(aq) = D-fructose(aq) + NADH(aq),[H]OC([H])([H])[C@@]([H])(O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@]([H])(O[H])C([H])([H])O[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])([n+]2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])[C@]([H])(O[H])[C@]1([H])O[H] = [H]OC([H])([H])C1(O[H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[H])[C@]1([H])O[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2C([H])=C([H])C([H])([H])C(C(=O)N([H])[H])=C2[H])O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H] + [H+],298.15,0.25,7.0,14.0,9.551357646453743,3.829465559195507,4,1.9147327795977536,reaction dg,5.092247939572692,4.038809928787325,"[7.6833496735101106, 7.2786057344425075, 15.280058115773805, 7.96341706208855]","[7.6833496735101106, 6.136928417261672, 7.428952799755813, -0.8802391322368266]"
D-mannitol(aq) + NADP(aq) = D-fructose(aq) + NADPH(aq),[H]OC([H])([H])[C@@]([H])(O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@]([H])(O[H])C([H])([H])O[H] + [H]O[C@@]1([H])[C@@]([H])(OP(=O)(O[H])O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])([n+]2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])[C@]([H])(O[H])[C@]1([H])O[H] = [H]OC([H])([H])C1(O[H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[H])[C@]1([H])O[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2C([H])=C([H])C([H])([H])C(C(=O)N([H])[H])=C2[H])O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)[C@]([H])(OP(=O)(O[H])O[H])[C@]1([H])O[H] + [H+],298.15,0.25,7.0,14.0,10.73531114847158,,1,,reaction dg,6.157881051777464,,[10.73531114847158],[6.157881051777464]
D-mannitol-1-phosphate(aq) + NAD(ox)(aq) = D-fructose 6-phosphate(aq) + NAD(red)(aq),[H]OC([H])([H])[C@@]([H])(O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@]([H])(O[H])C([H])([H])OP(=O)(O[H])O[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])([n+]2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])[C@]([H])(O[H])[C@]1([H])O[H] = [H]OC([H])([H])C1(O[H])O[C@]([H])(C([H])([H])OP(=O)(O[H])O[H])[C@@]([H])(O[H])[C@]1([H])O[H] + [H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2C([H])=C([H])C([H])([H])C(C(=O)N([H])[H])=C2[H])O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H] + [H+],298.15,0.25,7.0,14.0,9.306259710864769,4.944601847305862,5,2.211293170449389,reaction dg,5.312810571580783,7.12234929510072,"[5.981627563747395, 2.213433662818428, 12.802390182753824, 12.406595632234568, 13.127251512769625]","[-0.0, -0.23614302720296024, 13.088912472163612, 0.5840319001736408, 13.127251512769625]"
D-mannose 1-phosphate(aq) = D-mannose 6-phosphate(aq),[H]OC([H])([H])[C@@]1([H])O[C@]([H])(OP(=O)(O[H])O[H])[C@@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H] = [H]OC1([H])O[C@]([H])(C([H])([H])OP(=O)(O[H])O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@]1([H])O[H],298.15,0.25,7.0,14.0,-4.146602293839371,3.683608526141546,3,2.1267323741570223,reaction dg,-4.135713087069198,3.672605252689037,"[-7.0404147669497705, -5.399392114568341, 0.0]","[-7.015934873682629, -5.391204387524963, -0.0]"
D-mannose 6-phosphate(aq) + H2O(l) = D-mannose(aq) + orthophosphate(aq),[H]OC1([H])O[C@]([H])(C([H])([H])OP(=O)(O[H])O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@]1([H])O[H] + [H]O[H] = [H]OC([H])([H])[C@@]1([H])OC([H])(O[H])[C@@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H] + [H]OP(=O)(O[H])O[H],298.15,0.25,7.0,14.0,-10.90696637894755,,1,,reaction dg,-9.47271198346582,,[-10.90696637894755],[-9.47271198346582]
D-mannose 6-phosphate(aq) = D-fructose 6-phosphate(aq),[H]OC1([H])O[C@]([H])(C([H])([H])OP(=O)(O[H])O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@]1([H])O[H] = [H]OC([H])([H])C1(O[H])O[C@]([H])(C([H])([H])OP(=O)(O[H])O[H])[C@@]([H])(O[H])[C@]1([H])O[H],298.15,0.25,7.0,14.0,-0.6284068470124677,0.766691747452025,4,0.3833458737260125,reaction dg,-0.6465809877033277,0.7466155334385639,"[-1.51600511913027, -1.0196180325618387, -0.03847437281803007, 0.06047013646026799]","[-1.514929903532149, -1.0214381719160472, -0.07485685380964963, 0.02490097844453531]"
D-mannose(aq) = D-fructose(aq),[H]OC([H])([H])[C@@]1([H])OC([H])(O[H])[C@@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H] = [H]OC([H])([H])C1(O[H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[H])[C@]1([H])O[H],298.15,0.25,7.0,14.0,-2.5013529633063003,0.38530503423597146,8,0.13622590126678513,reaction dg,-2.50189984714562,0.38429786612665645,"[-2.5941933974815545, -2.7219509196297578, -2.8588339790743356, -2.726393690825716, -2.577639356211233, -2.624629459830997, -1.6515989682751004, -2.2555839351217095]","[-2.5941383659661104, -2.7219509196297578, -2.8588929414122384, -2.7264329990510414, -2.5775450164705203, -2.6245547742029753, -1.6542798670378196, -2.2574038933944998]"
"D-ornithine(aq) = D-threo-2,4-diaminopentanoate(aq)",[H]OC(=O)[C@]([H])(N([H])[H])C([H])([H])C([H])([H])C([H])([H])N([H])[H] = [H]OC(=O)[C@]([H])(N([H])[H])C([H])([H])[C@@]([H])(N([H])[H])C([H])([H])[H],298.15,0.25,7.0,14.0,5.184086314300204,,1,,reaction dg,0.27155055626889374,,[5.184086314300204],[0.27155055626889374]
